OID	Arrival	Duration	TimeOut
303	6	7	15
304	11	9	22
312	5	6	13
301	3	9	12
306	6	9	17
308	6	8	18
305	10	6	20
104	601	3	608
132	600	7	607
101	601	6	608
119	6	450	500
122	250	1	251
120	1	500	502
116	6	6	507
105	601	2	608
135	501	7	515
103	601	1	608
121	1	10	11
111	6	4	508
142	501	80	610
102	601	5	608
115	6	9	509
108	604	3	615
107	603	3	612
106	601	1	608
221	50	100	150
222	50	10	160
223	50	100	150
254	50	10	160
255	150	1	151
210	160	1	161
211	160	1	161
212	160	1	161
213	160	1	161
214	160	1	162
215	160	1	161
216	160	1	161
266	160	1	161
267	160	1	161
268	160	1	161
269	160	1	161
224	161	2	163
225	161	2	163
232	165	2	167
233	165	4	169
234	165	1	168
235	167	2	171
245	173	4	177
246	173	3	176
247	173	3	179
248	173	1	174
249	176	1	177
